Command,Latency
store,24451314
store,23922682
del,29322286
put,13276147
get,15086025
get,25248697
put,11845019
del,20787067
put,21684044
get,25730535
put,20763670
put,22859900
put,22993158
del,26343886
del,27263631
store,27375029
del,15007803
get,25792415
store,29493259
put,12260997
store,28594675
put,23269801
store,15076038
get,30981936
get,25016962
store,27989706
del,25374203
del,27972734
put,12940627
del,24863450
put,12993636
put,13494612
del,25788644
store,27246869
get,14570035
del,27460934
del,26140087
del,15256160
put,21677898
del,26625068
get,26646091
put,21657155
put,22591429
store,33733630
put,21268625
store,15383062
put,25933495
put,24320151
put,12975687
put,22710856
get,25757632
put,21546454
put,22288453
del,14760632
store,25619554
store,28625264
get,26801975
del,25331317
store,25306035
store,15075408
del,27163336
put,15184640
store,25449490
get,14699659
get,27323204
put,20223024
get,15420985
get,26393960
get,25237451
store,26869302
store,28182467
del,16348274
del,25645117
del,25042452
get,16028748
del,14678079
get,25297096
get,25762102
store,19922285
get,20999244
del,24998801
del,15053198
get,27026447
del,26420150
get,28120447
store,16806435
get,14576109
put,18869421
get,15057320
put,22031784
get,23998388
get,28116327
del,14287523
get,25574856
store,17787223
put,25407375
get,26955488
del,25989436
get,27519599
del,29006669
get,27658863
put,13975820
get,14742123
del,27103482
store,25913309
get,30013717
del,14740587
store,28354487
get,15669063
store,26941169
del,25760914
del,27949754
del,26067310
store,26148536
store,23286561
get,15883547
del,28820611
store,23235996
put,22491762
put,21413895
put,24753866
store,15478325
store,27712432
del,29311529
store,26849886
put,23226078
del,15326280
del,26999558
put,13849337
put,22562302
get,27703423
store,29351687
store,26998440
put,23525909
put,21848520
del,15555500
put,13329155
get,26992084
put,21694729
put,12616770
del,23498391
del,18721356
del,27522672
put,22856965
del,26508571
put,23889016
put,21531787
del,27339966
get,27857074
del,23766304
del,24453198
put,21876945
put,21774697
get,26064307
store,26287172
put,23434626
store,26367350
put,25645676
get,28479225
store,26810146
put,21745015
put,25068993
del,26655448
get,28258455
get,28208518
del,25824609
put,21670912
store,29076372
put,22344816
del,30557924
put,23567046
get,27401287
store,26451789
store,27412462
del,15554103
del,26516043
del,16127714
put,21484924
put,23091703
del,29322144
get,25839765
del,26320416
del,25800375
store,27231013
del,29507993
del,26756089
put,21652125
put,24114396
put,21223785
store,26376639
del,26052015
put,22472067
del,16669965
get,27846528
store,26434468
put,24158955
store,22765892
del,27152929
get,27218721
get,25869308
store,28594114
put,26860153
put,24120611
get,28246023
del,26251343
store,25997887
get,26418893
del,27458976
put,22788380
store,15299181
del,26396335
get,28392341
put,22234465
del,27958624
del,15429855
store,27537199
get,27196581
get,27267051
del,27888294
get,26980211
get,26067310
get,25584703
store,26581555
del,27450944
get,21871638
store,27531891
del,27582107
del,26689460
store,28215642
store,16043764
get,25735911
get,26895074
store,15939280
put,25833759
store,14759724
get,26822508
put,23848438
del,25261197
del,27859239
put,22965569
put,23059017
put,23354168
del,24976941
del,25945925
put,22289850
del,26484823
put,13448864
store,26356804
store,30677213
get,27652927
store,27299388
get,27511498
del,15516109
store,25787315
put,22759675
put,22736278
del,26835290
put,24848013
del,28138327
store,27936135
get,26569472
store,15624364
del,26182200
del,27110606
del,28049279
get,25764267
store,17333811
get,26266219
del,25413871
get,27336335
put,23193113
store,15920353
put,23625852
get,25892706
del,27872090
get,26929087
get,26189882
store,26870629
store,26072548
store,26055436
put,13618929
get,26312594
put,13507461
put,21939454
store,28943812
get,14374826
store,24153786
get,25829290
store,15199796
get,15331728
del,14903807
put,22422619
del,26438798
put,12561874
store,22229647
put,25145189
store,26073805
del,27030358
get,26547402
store,15480281
store,30403364
del,28894294
store,28183166
del,27071285
put,25190517
del,32024810
del,28978034
get,14647348
put,24598678
del,15254552
